nohup: ignoring input
========================================
MODEL A AUTOMATIC OVERNIGHT PIPELINE
Started: 2026-09-10T23:09:19-05:00
========================================

[1] Waiting for current LOOSE optimization...
2026-09-10T23:09:19-05:00 - loose optimization still running
2026-09-10T23:10:19-05:00 - loose optimization still running
2026-09-10T23:11:19-05:00 - loose optimization still running
2026-09-10T23:12:18-05:00 - loose optimization still running
2026-09-10T23:13:17-05:00 - loose optimization still running
2026-09-10T23:14:16-05:00 - loose optimization still running
2026-09-10T23:15:15-05:00 - loose optimization still running
2026-09-10T23:16:15-05:00 - loose optimization still running
2026-09-10T23:17:14-05:00 - loose optimization still running
2026-09-10T23:18:13-05:00 - loose optimization still running
2026-09-10T23:19:12-05:00 - loose optimization still running
2026-09-10T23:20:11-05:00 - loose optimization still running
2026-09-10T23:21:10-05:00 - loose optimization still running
2026-09-10T23:22:09-05:00 - loose optimization still running
2026-09-10T23:23:08-05:00 - loose optimization still running
2026-09-10T23:24:07-05:00 - loose optimization still running
2026-09-10T23:25:06-05:00 - loose optimization still running
2026-09-10T23:26:05-05:00 - loose optimization still running
2026-09-10T23:27:04-05:00 - loose optimization still running
2026-09-10T23:28:03-05:00 - loose optimization still running
2026-09-10T23:29:01-05:00 - loose optimization still running
2026-09-10T23:30:00-05:00 - loose optimization still running
2026-09-10T23:30:59-05:00 - loose optimization still running
2026-09-10T23:31:58-05:00 - loose optimization still running
2026-09-10T23:32:57-05:00 - loose optimization still running
2026-09-10T23:33:56-05:00 - loose optimization still running
2026-09-10T23:34:55-05:00 - loose optimization still running
2026-09-10T23:35:53-05:00 - loose optimization still running
2026-09-10T23:36:52-05:00 - loose optimization still running
2026-09-10T23:37:51-05:00 - loose optimization still running
2026-09-10T23:38:50-05:00 - loose optimization still running
2026-09-10T23:39:50-05:00 - loose optimization still running
2026-09-10T23:40:49-05:00 - loose optimization still running
2026-09-10T23:41:48-05:00 - loose optimization still running
2026-09-10T23:42:47-05:00 - loose optimization still running
2026-09-10T23:43:45-05:00 - loose optimization still running
2026-09-10T23:44:44-05:00 - loose optimization still running
2026-09-10T23:45:44-05:00 - loose optimization still running
2026-09-10T23:46:42-05:00 - loose optimization still running
2026-09-10T23:47:41-05:00 - loose optimization still running
2026-09-10T23:48:40-05:00 - loose optimization still running
2026-09-10T23:49:39-05:00 - loose optimization still running
2026-09-10T23:50:38-05:00 - loose optimization still running
2026-09-10T23:51:37-05:00 - loose optimization still running
2026-09-10T23:52:36-05:00 - loose optimization still running
2026-09-10T23:53:35-05:00 - loose optimization still running
2026-09-10T23:54:34-05:00 - loose optimization still running
2026-09-10T23:55:33-05:00 - loose optimization still running
2026-09-10T23:56:32-05:00 - loose optimization still running
2026-09-10T23:57:31-05:00 - loose optimization still running
2026-09-10T23:58:30-05:00 - loose optimization still running
2026-09-10T23:59:29-05:00 - loose optimization still running
2026-09-11T00:00:28-05:00 - loose optimization still running
2026-09-11T00:01:27-05:00 - loose optimization still running
2026-09-11T00:02:26-05:00 - loose optimization still running
2026-09-11T00:03:25-05:00 - loose optimization still running
2026-09-11T00:04:24-05:00 - loose optimization still running
2026-09-11T00:05:23-05:00 - loose optimization still running
2026-09-11T00:06:21-05:00 - loose optimization still running
2026-09-11T00:07:21-05:00 - loose optimization still running
2026-09-11T00:08:20-05:00 - loose optimization still running
2026-09-11T00:09:19-05:00 - loose optimization still running
2026-09-11T00:10:17-05:00 - loose optimization still running
2026-09-11T00:11:17-05:00 - loose optimization still running
2026-09-11T00:12:16-05:00 - loose optimization still running
2026-09-11T00:13:15-05:00 - loose optimization still running
2026-09-11T00:14:14-05:00 - loose optimization still running
2026-09-11T00:15:13-05:00 - loose optimization still running
2026-09-11T00:16:12-05:00 - loose optimization still running
2026-09-11T00:17:11-05:00 - loose optimization still running
2026-09-11T00:18:10-05:00 - loose optimization still running
2026-09-11T00:19:08-05:00 - loose optimization still running
2026-09-11T00:20:07-05:00 - loose optimization still running
2026-09-11T00:21:06-05:00 - loose optimization still running
2026-09-11T00:22:06-05:00 - loose optimization still running
2026-09-11T00:23:04-05:00 - loose optimization still running
2026-09-11T00:24:03-05:00 - loose optimization still running
2026-09-11T00:25:02-05:00 - loose optimization still running
2026-09-11T00:26:01-05:00 - loose optimization still running
2026-09-11T00:27:00-05:00 - loose optimization still running
2026-09-11T00:27:59-05:00 - loose optimization still running
2026-09-11T00:28:58-05:00 - loose optimization still running
2026-09-11T00:29:57-05:00 - loose optimization still running
2026-09-11T00:30:55-05:00 - loose optimization still running
2026-09-11T00:31:54-05:00 - loose optimization still running
2026-09-11T00:32:54-05:00 - loose optimization still running
2026-09-11T00:33:52-05:00 - loose optimization still running
2026-09-11T00:34:51-05:00 - loose optimization still running
2026-09-11T00:35:50-05:00 - loose optimization still running
2026-09-11T00:36:49-05:00 - loose optimization still running
2026-09-11T00:37:48-05:00 - loose optimization still running
2026-09-11T00:38:47-05:00 - loose optimization still running
2026-09-11T00:39:46-05:00 - loose optimization still running
2026-09-11T00:40:45-05:00 - loose optimization still running
2026-09-11T00:41:44-05:00 - loose optimization still running
2026-09-11T00:42:43-05:00 - loose optimization still running
2026-09-11T00:43:41-05:00 - loose optimization still running
2026-09-11T00:44:40-05:00 - loose NWChem process ended

[2] Checking whether LOOSE optimization converged...
2026-09-11T00:44:40-05:00 - LOOSE optimization did NOT report convergence.
Automatic pipeline stopping safely.
